ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1,MLG2,MLG3
B1B850065,22864.0,7831.0,22864.0,7831.0,86073.70522006141,36096.79054054054,98096.0,98097.0,31573.81586402266,157444.71296296298,156904.0,160461.77709454266,0.0,0.0,0.0,0.0,156904.0,156904.0,146696.54828660437,145169.7264957265,146696.54828660437,145169.7264957265,156904.0,156904.0,,,
B1B850066,21763.0,9497.0,21550.0,7537.0,90231.32241555784,40446.12162162162,100439.0,100444.0,32080.645892351273,159847.85185185185,159497.0,163113.57302075328,158443.0,118521.0,158735.0,124658.0,159497.0,159497.0,143394.6292834891,147568.80555555556,144026.1183800623,145720.22863247863,159497.0,159497.0,,,
B1B850067,22165.0,7511.0,22165.0,7511.0,88831.02354145344,34914.23310810811,97233.0,97236.0,32283.487252124647,157637.53703703705,153785.0,157272.05418908532,154026.0,154026.0,154606.0,154606.0,153785.0,153785.0,154197.5202492212,142283.98504273506,0.0,0.0,153785.0,153785.0,,,
B1B850068,14666.0,5938.0,14666.0,5938.0,36580.190378710344,29032.449324324323,74391.0,74391.0,9916.263456090652,42491.81481481482,36025.0,93396.80476556496,156044.0,27978.0,156288.0,29367.0,29098.0,52226.0,53042.753894081005,46851.895299145304,53042.753894081005,46851.895299145304,51965.0,29093.0,,,
B1B850069,22547.0,10364.0,22559.0,10364.0,94982.9846468782,39465.82432432433,102876.0,102876.0,36383.50708215297,176697.37037037036,160364.0,164000.23212913144,162718.0,162718.0,161906.0,142990.0,160364.0,160364.0,152438.20560747664,148370.9658119658,152438.20560747664,148370.9658119658,160364.0,160364.0,,,
B1B850070,22364.0,8265.0,22364.0,8265.0,88514.8045035824,36688.80743243243,96584.0,96584.0,30978.41359773371,156211.74074074073,154455.0,157957.24634896236,153331.0,153331.0,154272.0,153712.0,154455.0,154455.0,154428.21183800625,142903.87820512822,154428.21183800625,142903.87820512822,154455.0,154455.0,,,
B1B850071,22099.0,8079.0,22099.0,8079.0,88234.88433981576,36304.95608108108,95452.0,95452.0,32783.75637393768,158120.14814814815,154489.0,157992.01729438893,154319.0,154319.0,153698.0,153698.0,154489.0,154489.0,153097.6573208723,142935.33547008547,153097.6573208723,142935.33547008547,154489.0,154489.0,,,
B1B850072,21987.0,9864.0,21989.0,9864.0,98007.65813715456,40694.14864864865,101272.0,101272.0,32304.81019830028,176146.44444444444,159864.0,163488.8946963874,161966.0,147518.0,160922.0,146888.0,159864.0,159864.0,162376.58566978195,147908.35897435897,162376.58566978195,147908.35897435897,159864.0,159864.0,,,
B1B850073,19842.0,9773.0,19846.0,9773.0,84844.42988741044,41021.89864864865,93477.0,93477.0,23036.98300283286,134958.12037037036,159773.0,163395.83128362798,155386.0,108512.0,160247.0,94187.0,159773.0,159773.0,112535.55140186918,147824.16452991453,112535.55140186918,147824.16452991453,159773.0,159773.0,,,
B1B850074,22208.0,9161.0,22208.0,9161.0,88992.27430910952,38337.89189189189,99475.0,99475.0,24609.960339943344,155888.89814814815,159161.0,162769.9542659493,159692.0,105924.0,159085.0,77427.0,159161.0,159161.0,134076.08722741433,147257.93376068378,134073.7570093458,147257.93376068378,159161.0,159161.0,,,
B1B850075,16294.0,7056.0,16309.0,7056.0,39091.09518935517,31505.337837837837,80377.0,80377.0,10581.101983002833,44351.740740740745,38279.0,97494.66295157572,156094.0,27586.0,154962.0,26506.0,30946.0,57282.0,56169.90654205608,109136.3547008547,56169.90654205608,109136.3547008547,56919.0,31009.0,,,
B1B850076,557.0,557.0,557.0,557.0,388.8167860798363,822.3277027027027,557.0,557.0,304.5354107648725,613.7314814814815,557.0,569.629900076864,556.0,556.0,556.0,556.0,557.0,557.0,1297.931464174455,515.3440170940171,1297.931464174455,515.3440170940171,557.0,557.0,,,
B1B850077,22945.0,12595.0,22948.0,12595.0,90295.54350051178,40884.59797297297,101935.0,101935.0,25497.869688385268,159517.2962962963,162595.0,166281.81975403536,156850.0,151664.0,161362.0,135300.0,162595.0,162595.0,127446.61682242992,150435.11752136753,127446.61682242992,150435.11752136753,162595.0,162595.0,,,
B1B850078,2887.0,2887.0,2887.0,2887.0,2015.2855680655068,4262.226351351352,2887.0,2887.0,1578.4447592067988,3181.0462962962965,2887.0,2952.462336664105,3456.0,3456.0,3089.0,3089.0,2887.0,2887.0,6727.339563862929,2671.0918803418804,6727.339563862929,2671.0918803418804,2887.0,2887.0,,,
B1B850079,24250.0,12284.0,24254.0,12284.0,94721.21392016378,39743.37837837838,102749.0,102749.0,34062.03966005666,178812.92592592593,162284.0,165963.76787086859,157132.0,133123.0,158367.0,139110.0,162284.0,162284.0,155777.4080996885,150147.37606837606,155777.4080996885,150147.37606837606,162284.0,162284.0,,,
B1B850080,19547.0,9996.0,19596.0,9996.0,90327.65404298875,42564.685810810806,102753.0,102753.0,27200.971671388103,157026.00925925927,159996.0,163623.88777863185,157798.0,108753.0,158993.0,109291.0,159996.0,159996.0,131876.36137071654,148030.4871794872,131876.36137071654,148030.4871794872,159996.0,159996.0,,,
B1B850081,19894.0,10316.0,19898.0,10316.0,91122.73899692939,42517.44256756757,101109.0,101110.0,27395.611898016996,157697.03703703705,160316.0,163951.14373558803,161309.0,110475.0,155576.0,153172.0,160316.0,160316.0,138745.84423676014,148326.55555555556,138745.84423676014,148326.55555555556,160316.0,160316.0,,,
B1B850082,23797.0,6706.0,23797.0,6706.0,92380.63459570114,36634.18243243243,99440.0,99440.0,32079.00566572238,158338.3148148148,153396.0,156874.23366641047,152811.0,152811.0,153836.0,153836.0,153396.0,153396.0,154360.6355140187,141924.07692307694,154360.6355140187,141924.07692307694,153396.0,153396.0,,,
B1B850083,24244.0,12407.0,24244.0,12407.0,88952.48515864894,41187.25,101282.0,101284.0,26752.643059490085,160059.40740740742,162407.0,166089.55687932362,158890.0,118831.0,161818.0,127577.0,162407.0,162407.0,135215.56386292836,150261.17735042734,135215.56386292836,150261.17735042734,162407.0,162407.0,,,
B1B850084,22202.0,10642.0,22276.0,10642.0,98911.6397134084,42483.48648648649,102294.0,102295.0,31437.67705382436,177003.6851851852,160642.0,164284.53574173714,161217.0,152908.0,161747.0,161747.0,160642.0,160642.0,159398.56697819315,148628.17521367522,159398.56697819315,148628.17521367522,160642.0,160642.0,,,
B1B850085,24314.0,11028.0,24314.0,11028.0,95346.67144319345,39142.50337837838,104297.0,104298.0,31494.538243626062,177429.0,161028.0,164679.28823981553,157799.0,157799.0,160417.0,159651.0,161028.0,161028.0,164508.73520249224,148985.3076923077,164513.3956386293,148985.3076923077,161028.0,161028.0,,,
B1B850086,22419.0,7228.0,22419.0,7228.0,90978.24155578301,37707.48986486487,98576.0,98576.0,30528.99150141643,157131.78703703705,155025.0,158540.17102229057,154469.0,143165.0,154469.0,154469.0,155025.0,155025.0,154707.83800623054,143431.25,154707.83800623054,143431.25,155025.0,155025.0,,,
B1B850087,24251.0,11967.0,24251.0,11967.0,87143.82395087002,38799.98986486487,102651.0,102651.0,25412.57790368272,158372.47222222222,161967.0,165639.57993850886,159481.0,105746.0,156548.0,94079.0,161967.0,161967.0,137881.33333333334,149854.08333333334,137881.33333333334,149854.08333333334,161967.0,161967.0,,,
B1B850088,18934.0,8108.0,19015.0,8108.0,83995.59467758445,39932.35135135135,97005.0,97005.0,22328.405099150143,132767.63888888888,158108.0,161693.07763259034,162434.0,87911.0,159519.0,74764.0,158108.0,158108.0,111699.00311526482,146283.68376068378,111699.00311526482,146283.68376068378,158108.0,158108.0,,,
B1B850089,19397.0,8517.0,19451.0,8517.0,83943.9385875128,39678.41891891892,96955.0,96957.0,25700.71104815864,133646.91666666666,158517.0,162111.35165257496,157935.0,95238.0,160885.0,10885.0,158517.0,158517.0,116100.78504672898,146662.09615384616,116098.45482866045,146662.09615384616,158517.0,158517.0,,,
B1B850090,20458.0,10044.0,20505.0,10044.0,92609.59672466735,42716.75,101405.0,101404.0,26746.628895184134,158230.33333333334,160044.0,163672.97617217526,160996.0,99242.0,161477.0,110540.0,160044.0,160044.0,132887.67601246107,148074.89743589744,132885.34579439255,148074.89743589744,160044.0,160044.0,,,
B1B850091,8294.0,8294.0,8294.0,8294.0,5789.670419651996,12244.858108108108,8294.0,8294.0,4534.679886685552,9138.75925925926,8294.0,8482.065334358187,10025.0,10025.0,8830.0,8830.0,8294.0,8294.0,19326.82866043614,7673.722222222223,19326.82866043614,7673.722222222223,8294.0,8294.0,,,
B1B850092,23192.0,7231.0,23192.0,7231.0,91744.00818833163,37553.94932432433,97730.0,97730.0,31034.728045325777,156337.35185185185,154135.0,157629.99039200615,0.0,0.0,0.0,0.0,154135.0,154135.0,155204.17445482867,142607.80982905984,155204.17445482867,142607.80982905984,154135.0,154135.0,,,
