ACSN,W15LH,W1LH,W15RH,W1RH,WCT4,WCT10,WSAFLH,WSAFRH,FIF6,AIF9,AIF12,AIF51,HS1LLH,HS1ULH,HS1LRH,HS1URH,VS2LH,AF1LH,NAC6LH,NAC4LH,NAC6RH,NAC4RH,AF1RH,VS2RH,MLG1LH,MLG2LH,MLG3LH
B1B850081,20086.0,10319.0,20091.0,10319.0,86468.8045035824,43195.08783783784,108466.0,108467.0,23721.504249291786,134360.91666666666,170991.0,456169.2371252883,0.0,0.0,0.0,0.0,148355.0,190336.09215955986,132778.1557632399,443900.86752136756,132778.1557632399,443900.86752136756,191552.56258596975,148599.0,,,
B1B850082,24326.0,6812.0,24326.0,6812.0,91119.94677584442,37443.22297297297,105382.0,105382.0,29835.722379603398,147994.12962962964,212706.0,602147.8927747887,1335387.0,150217.0,1406488.0,143468.0,187521.0,223504.37826685008,154528.4112149533,611646.7329059829,154528.4112149533,611646.7329059829,225219.20357634115,187521.0,,,
B1B850083,24557.0,12407.0,24557.0,12407.0,88339.59263050155,41791.0777027027,106752.0,106754.0,25001.42776203966,150813.7685185185,205850.0,590108.9642582629,1430047.0,105728.0,1418440.0,113446.0,188798.0,221886.4552957359,135802.7788161994,564966.9273504274,135802.7788161994,564966.9273504274,217942.01100412657,190427.0,,,
B1B850084,21574.0,10985.0,21644.0,10985.0,94119.4902763562,41048.47297297297,94171.0,94172.0,29576.019830028326,181536.7037037037,368925.0,1122926.6598770178,3531046.0,145680.0,3832209.0,161630.0,468583.0,313408.1182943604,146673.246105919,649030.9166666667,146673.246105919,649030.9166666667,313586.3493810179,468583.0,,,
B1B850085,11158.0,11158.0,11158.0,11158.0,7788.900716479018,16473.128378378377,11158.0,11158.0,6100.549575070821,12294.462962962964,11158.0,11411.006149116065,7929.0,7929.0,10547.0,10547.0,11158.0,9653.8954607978,26000.573208722744,10323.53418803419,26000.573208722744,10323.53418803419,9653.8954607978,11158.0,,,
B1B850086,22877.0,7301.0,22877.0,7301.0,89725.93039918118,38525.38851351351,104742.0,104742.0,28414.739376770536,147673.49074074073,207545.0,584706.1729438894,1437329.0,125777.0,1417295.0,139741.0,189445.0,223078.7001375516,154796.3862928349,534589.3867521368,154796.3862928349,534589.3867521368,215347.27785419533,189445.0,,,
B1B850087,24578.0,11967.0,24578.0,11967.0,86475.78505629479,39352.145270270266,108625.0,108625.0,23918.87818696884,148399.61111111112,209103.0,584177.450038432,1356165.0,94608.0,1284819.0,83181.0,189386.0,221183.04814305366,138529.1339563863,415587.4786324786,138529.1339563863,415587.4786324786,220591.2517193948,189276.0,,,
B1B850088,19561.0,8307.0,19646.0,8307.0,87097.75230296828,42012.53040540541,108284.0,108285.0,21221.798866855523,131926.92592592593,169529.0,452128.64873174485,1117900.0,105745.0,1065824.0,70561.0,144401.0,190407.90371389274,116746.25545171341,377451.0961538462,116746.25545171341,377451.0961538462,190227.07702888583,144352.0,,,
B1B850089,8517.0,8517.0,8517.0,8517.0,5945.336745138178,12574.08445945946,8517.0,8517.0,4656.6033994334275,9384.472222222223,8517.0,8710.12182936203,0.0,0.0,0.0,0.0,8517.0,7368.903713892711,19846.46728971963,7880.044871794872,19846.46728971963,7880.044871794872,7368.903713892711,8517.0,,,
B1B850090,20735.0,10044.0,20785.0,10044.0,92044.87001023542,43425.39864864865,107413.0,107412.0,24816.082152974504,148942.82407407407,209345.0,591180.7275172945,1428301.0,86220.0,0.0,0.0,190170.0,216442.62035763412,133528.48598130842,587692.0256410256,133526.1557632399,587692.0256410256,226636.4002751032,190389.0,,,
B1B850091,8294.0,8294.0,8294.0,8294.0,5789.670419651996,12244.858108108108,8294.0,8294.0,4534.679886685552,9138.75925925926,8294.0,8482.065334358187,10025.0,10025.0,8830.0,8830.0,8294.0,7175.964236588721,19326.82866043614,7673.722222222223,19326.82866043614,7673.722222222223,7175.964236588721,8294.0,,,
B1B850092,23693.0,7320.0,23693.0,7320.0,91102.49539406347,38398.42229729729,103898.0,103898.0,28603.912181303116,146859.22222222222,209679.0,601846.2036894697,0.0,0.0,0.0,0.0,187823.0,224052.0495185695,155353.30841121497,656735.170940171,155353.30841121497,656735.170940171,225618.06052269603,187823.0,,,
B1B860093,20053.0,11282.0,20059.0,11282.0,87827.22006141249,41475.13851351351,107500.0,107504.0,24067.045325779036,149553.25,206219.0,590902.5599538817,0.0,0.0,0.0,0.0,188218.0,224404.1856946355,132097.73208722743,662364.170940171,132097.73208722743,662364.170940171,223200.6932599725,190193.0,,,
B1B860094,22548.0,10688.0,22549.0,10688.0,91824.28454452405,37673.53378378378,93924.0,93924.0,28505.498583569406,180999.0,374189.0,1142916.8854727135,3233455.0,116652.0,3705987.0,114638.0,468655.0,323510.1870701513,134157.6448598131,871069.2457264957,134157.6448598131,871069.2457264957,308739.50206327374,471027.0,,,
B1B860095,20866.0,10511.0,20869.0,10511.0,94317.03991811669,41308.310810810806,94135.0,94135.0,30210.787535410764,181151.05555555556,364235.0,1141239.698693313,3822291.0,155310.0,3709557.0,193280.0,469206.0,315362.6038514443,139656.95950155763,796921.6965811966,139656.95950155763,796921.6965811966,296393.9711141678,468206.0,,,
B1B860096,22929.0,7781.0,22929.0,7781.0,88551.80143295805,36581.03378378378,105428.0,105431.0,28033.660056657223,147026.7037037037,211481.0,602542.645272867,0.0,0.0,1394192.0,131163.0,187875.0,224650.7675378267,154710.1682242991,682156.3418803419,154710.1682242991,682156.3418803419,225418.1994497937,187875.0,,,
B1B860097,22003.0,8994.0,22043.0,8994.0,86429.01535312181,40655.76351351351,104428.0,104428.0,23884.98016997167,136064.37962962964,174021.0,459075.6790930054,1088883.0,100854.0,1131193.0,103579.0,148546.0,196294.72077028887,121805.15887850469,553139.920940171,121805.15887850469,553139.920940171,191248.01237964237,147947.0,,,
